AAPL_price,AAPL_return,AAPL_ma5,AAPL_volatility,MSFT_price,MSFT_return,MSFT_ma5,MSFT_volatility,GOOGL_price,GOOGL_return,GOOGL_ma5,GOOGL_volatility,AMZN_price,AMZN_return,AMZN_ma5,AMZN_volatility,META_price,META_return,META_ma5,META_volatility
232.23977661132812,0.021007849785575905,234.18707885742188,0.020054417573189282,410.7906494140625,0.003528620548751915,417.52874755859375,0.026473924202738183,205.89334106445312,0.025592720368541988,201.1066467285156,0.0176026975409656,242.05999755859375,0.019543422733693472,237.7739990234375,0.012463777635894261,703.0231323242188,0.009649333565562968,689.7192138671875,0.005463006012874415
231.9105682373047,-0.0014175365599596867,232.81239318847656,0.019546477815344465,411.7071533203125,0.002231072950558355,411.7429992675781,0.02770346982249824,190.8788299560547,-0.07292373337949898,200.29257202148438,0.042208012661030817,236.1699981689453,-0.024332807771026643,237.5939971923828,0.017650296711381186,703.7020263671875,0.0009656781004123705,695.3858154296875,0.00608375783893267
232.6587677001953,0.0032262413419859026,231.94049987792968,0.019886407826230287,414.2274475097656,0.0061215700750585356,411.9083679199219,0.0061959524212497575,191.148193359375,0.0014111748452267925,198.4429443359375,0.03880110156497614,238.8300018310547,0.011263088803542765,238.43199768066407,0.017339996695028875,710.8101806640625,0.010101085446023728,700.3755249023437,0.0048133154640910905
227.08221435546875,-0.023968808052454382,230.27052612304686,0.02196225530783259,408.1806945800781,-0.014597663592886279,410.8504333496094,0.009155225091131208,184.90293884277344,-0.03267231778047697,194.71575317382812,0.037170849582368694,229.14999389648438,-0.04053095448794508,236.7259979248047,0.024988609738998004,713.3359985351562,0.0035534351361343752,705.4351196289062,0.004736567339123673
227.3518524169922,0.001187402819233352,230.2486358642578,0.016044167425611922,410.6412353515625,0.00602806748127982,411.10943603515625,0.008691064683408996,186.03028869628906,0.006096981803378698,191.77071838378907,0.03882136371178193,233.13999938964844,0.017412199866636335,235.8699981689453,0.02734693542187072,716.2112426757812,0.0040307010252242925,709.4165161132812,0.004023894599674368
232.3153533935547,0.021831803540614203,230.2637512207031,0.016315726785975634,409.8642272949219,-0.0018921822499764485,410.9241516113281,0.008581540507370278,184.8830108642578,-0.006167156112434347,187.56865234375,0.03274418474747834,232.75999450683594,-0.0016299428832775575,234.00999755859374,0.024400286208513765,718.6072387695312,0.0033453762674802157,712.5333374023437,0.0034008169760321874
236.55978393554688,0.018270124983095215,231.19359436035157,0.018112934076708137,407.4734191894531,-0.005833170953337241,410.07740478515626,0.00871506896301123,183.17701721191406,-0.009227422489329173,186.02828979492188,0.015006846914480152,228.92999267578125,-0.01645472556041927,232.56199645996094,0.023275148384220314,724.1780395507812,0.007752219127083793,716.6285400390625,0.0030209150956774463
241.21368408203125,0.019673251594414687,232.90457763671876,0.01936277194705463,408.9676818847656,0.0036671415236970706,409.02545166015625,0.008194376699913365,185.70106506347656,0.013779282412064164,184.9388641357422,0.017739496554085188,230.3699951171875,0.006290143220533118,230.8699951171875,0.022445134009435975,727.352783203125,0.004383926988883902,719.937060546875,0.0018010962501727277
244.2796630859375,0.012710634620810346,236.3440673828125,0.00828980551453524,406.86572265625,-0.00513967074079924,408.7624572753906,0.005286738870178461,184.79319763183594,-0.0048888649687081065,184.9169158935547,0.009670687577554866,228.67999267578125,-0.007336035409240549,230.77599487304687,0.012936307198958835,735.4492797851562,0.011131457483912754,724.359716796875,0.0032732293057008113
244.14984130859375,-0.0005314473407393994,239.70366516113282,0.008997477594246472,408.0711364746094,0.002962682160811525,408.2484375,0.004429230194039111,183.33665466308594,-0.007882016153277882,184.37818908691406,0.009456248250459594,226.64999389648438,-0.008877028355405714,229.47799377441407,0.008495802619125675,715.1829223632812,-0.027556431121661173,724.154052734375,0.01560124579508295
244.54930114746094,0.0016361257362533799,242.15045471191405,0.009348281682553153,413.18145751953125,0.012523113222539406,408.91188354492186,0.007518528520953763,184.83311462402344,0.008162361005700225,184.3682098388672,0.010340026886119099,226.6300048828125,-8.819331220011328e-05,228.2519958496094,0.008701473866617434,702.6038818359375,-0.0175885638960408,720.9533813476562,0.0171479990668926
245.508056640625,0.003920499828318658,243.9401092529297,0.008471114196556802,415.3674621582031,0.005290664909783693,410.4906921386719,0.006303427179700683,184.12478637695312,-0.003832258351059825,184.557763671875,0.009374249563262448,222.8800048828125,-0.016546793977871843,227.04199829101563,0.0087310455413966,693.6885986328125,-0.012688918227762858,714.8554931640625,0.015927018772687908
245.22842407226562,-0.00113899548628138,244.74305725097656,0.0056146312546062485,407.4619445800781,-0.01903258752394521,410.1895446777344,0.012041037122750403,179.23634338378906,-0.02654961936062261,183.2648193359375,0.012523520079649028,216.5800018310547,-0.028266344731418536,224.28399963378905,0.010705320954661278,682.4173583984375,-0.016248270847451507,705.868408203125,0.014362102709969179
246.77639770507812,0.006312374426695078,245.24240417480468,0.0031092977735631628,403.2596740722656,-0.010313283396669815,409.4683349609375,0.012723140612033786,178.8273162841797,-0.0022820544756012584,182.07164306640624,0.012686481338277152,212.7100067138672,-0.017868663239768212,221.09000244140626,0.010538287019902622,667.0228881835938,-0.02255873187483537,692.1831298828125,0.005803716124055028
246.71646118164062,-0.00024287786026089275,245.75572814941407,0.0030517876954232006,397.17083740234375,-0.015099046746813394,407.28827514648435,0.01359742987041691,175.00633239746094,-0.02136689162547578,180.40557861328125,0.014380205872644125,212.8000030517578,0.000423094048469963,218.32000427246095,0.012397896291957077,656.4105224609375,-0.015910047332191812,680.4286499023438,0.0035911147684384633
